ID,OBS
"1819",0
"1820",5
"1821",2
"1822",0
"1823",0
"1824",0
"1825",1
"1826",3
"1827",0
"1828",0
"1829",1
"1830",0
"1831",0
"1832",0
"1833",0
"1834",0
"1835",0
"1836",0
"1837",0
"1838",3
"1839",0
"1840",4
"1842",1
"1843",0
"1844",0
"1845",5
"1846",2
"1847",5
"1848",9
"1849",3
"1850",2
"1851",9
"1852",1
"1853",0
"1854",0
"1855",0
"1856",3
"1857",1
"1858",3
"1859",2
"1860",2
"1861",3
"1862",0
"1863",5
"1864",0
"1865",2
"1866",7
"1867",2
"1868",2
"1869",0
"1870",6
"1871",5
"1872",10
"1873",6
"1874",2
"1875",2
"1876",1
"1877",4
"1878",3
"1879",2
"1880",1
"1881",2
"1882",2
"1883",6
"1884",0
"1885",1
"1886",0
"1887",1
"1888",3
"1889",2
"1890",1
"1891",2
"1892",1
"1893",0
"1894",2
"1895",2
"1896",0
"1897",2
"1898",1
"1899",2
"1900",1
"1901",0
"1902",3
"1903",3
"1904",4
"1905",1
"1906",2
"1907",0
"1908",2
"1909",2
"1910",3
"1911",3
"1912",3
"1913",6
"1914",2
"1915",1
"1916",3
"1917",6
"1918",2
"1919",1
"1920",3
"1921",0
"1922",2
"1923",2
"1924",1
"1925",12
"1926",2
"1927",4
"1928",7
"1929",1
"1930",0
"1931",2
"1932",1
"1933",3
"1934",1
"1935",2
"1936",0
"1937",4
"1938",3
"1939",0
"1940",8
"1941",2
"1942",2
"1943",6
"1944",7
"1945",2
"1946",7
"1947",8
"1948",4
"1949",2
"1950",4
"1951",6
"1952",3
"1953",2
"1954",2
"1955",5
"1956",0
"1957",7
"1958",9
"1959",3
"1960",2
"1961",0
"1962",0
"1963",1
"1964",0
"1965",1
"1966",1
"1967",2
"1968",2
"1969",3
"1970",2
"1971",2
"1972",0
"1973",0
"1974",1
"1975",0
"1976",0
"1977",6
"1978",0
"1979",1
"1980",2
"1981",3
"1982",2
"1983",2
"1984",1
"1985",2
"1986",1
"1987",3
"1988",2
"1989",2
"1990",2
"1991",4
"1992",1
"1993",0
"1994",3
"1995",2
"1996",1
"1997",5
"1998",5
"1999",3
"2000",4
"2001",3
"2002",1
"2003",2
"2004",1
"2005",2
"2006",2
"2007",3
"2008",3
"2009",1
"2010",2
"2011",2
"2012",2
"2013",1
"2014",7
"2015",7
"2016",2
"2017",2
"2018",2
"2019",6
"2020",6
"2021",6
"2022",4
"2023",2
"2024",2
"2025",2
"2026",14
"2027",1
"2028",2
"2029",2
"2030",8
"2031",3
"2032",0
"2033",4
"2034",1
"2035",3
"2036",8
"2037",15
"2038",1
"2039",6
"2040",9
"2041",4
"2042",4
"2043",4
"2044",2
"2045",2
"2046",4
"2047",3
"2048",3
"2049",3
"2050",3
"2051",5
"2052",7
"2053",2
"2054",3
"2055",3
"2056",5
"2057",14
"2058",12
"2059",6
"2060",5
"2061",5
"2062",3
"2063",3
"2064",1
"2065",4
"2066",9
"2067",7
"2068",1
"2069",3
"2070",6
"2071",6
"2072",6
"2073",8
"2074",4
"2075",6
"2076",4
"2077",4
"2078",6
"2079",9
"2080",1
"2081",1
"2082",1
"2083",1
"2084",3
"2085",1
"2086",2
"2087",2
"2088",2
"2089",3
"2090",2
"2091",5
"2092",2
"2093",0
"2094",6
"2095",5
"2096",2
"2097",2
"2098",3
"2099",4
"2100",2
"2101",2
"2102",1
"2103",0
"2104",1
"2105",1
"2106",1
"2107",3
"2108",4
"2109",7
"2110",7
"2111",8
"2112",8
"2113",11
"2114",2
"2115",1
"2116",2
"2117",2
"2118",6
"2119",4
"2120",6
"2121",8
"2122",0
"2123",3
"2124",5
"2125",3
"2126",4
"2127",6
"2128",3
"2129",5
"2130",4
"2131",3
"2132",4
"2133",1
"2134",0
"2135",1
"2136",3
"2137",2
"2138",3
"2139",3
"2140",3
"2141",5
"2142",2
"2143",1
"2144",3
"2145",5
"2146",2
"2147",10
"2148",3
"2149",2
"2150",2
"2151",1
"2152",1
"2153",3
"2154",4
"2155",3
"2156",3
"2157",3
"2158",2
"2159",2
"2160",2
"2161",5
"2162",3
"2163",2
"2164",5
"2165",3
"2166",6
"2167",5
"2168",6
"2169",4
"2170",5
"2171",2
"2172",5
"2173",3
"2174",1
"2175",3
"2176",6
"2177",7
"2178",5
"2179",0
"2180",2
"2181",6
"2182",3
"2183",2
"2184",3
"2185",1
"2186",4
"2187",5
"2188",0
"2189",6
"2190",6
"2191",0
"2192",1
"2193",1
"2194",1
"2195",0
"2196",0
"2197",0
"2198",0
"2199",2
"2200",0
"2201",0
"2203",0
"2204",0
"2205",1
"2206",0
"2207",0
"2208",9
"2209",5
"2210",1
"2211",1
"2212",1
"2213",1
"2214",2
"2215",1
"2216",1
"2217",3
"2218",3
"2219",1
"2220",2
"2221",2
"2222",2
"2223",2
"2224",0
"2225",2
"2226",1
"2227",4
"2228",0
"2229",0
"2230",0
"2231",0
"2232",0
"2233",0
"2234",2
"2235",2
"2236",3
"2237",3
"2238",3
"2239",3
"2240",1
"2241",2
"2242",1
"2243",2
"2244",0
"2245",1
"2246",1
"2247",4
"2248",3
"2249",2
"2250",2
"2251",2
"2252",2
"2253",2
"2254",7
"2255",6
"2256",2
"2257",3
"2258",2
"2259",1
"2260",0
"2261",0
"2262",3
"2263",2
"2264",2
"2265",0
"2266",1
"2267",1
"2268",0
"2269",3
"2270",2
"2271",3
"2272",2
"2273",1
"2274",1
"2275",3
"2276",4
"2277",2
"2278",3
"2279",0
"2280",1
"2281",2
"2282",2
"2283",2
"2284",4
"2285",2
"2286",7
"2287",0
"2288",6
"2289",0
"2290",2
"2291",0
"2292",0
"2293",5
"2294",0
"2295",1
"2296",2
"2297",3
"2298",2
"2299",4
"2300",2
"2301",1
"2302",0
"2303",4
"2304",4
"2305",1
"2306",2
"2307",1
"2308",1
"2309",3
"2310",4
"2311",2
"2312",0
"2313",0
"2314",0
"2315",0
"2316",1
"2317",1
"2318",0
"2319",0
"2320",1
"2321",2
"2322",2
"2323",3
"2324",1
"2325",2
"2326",1
"2327",0
"2328",1
"2329",0
"2330",0
"2331",0
"2332",0
"2333",0
"2334",0
"2335",0
"2336",0
"2337",0
"2338",0
"2339",0
"2340",0
"2341",0
"2342",0
"2343",0
"2344",0
"2345",0
"2346",0
"2347",0
"2348",0
"2349",0
"2350",0
"2351",3
"2352",4
"2353",2
"2354",4
"2355",3
"2356",1
"2357",0
"2358",0
"2359",2
"2360",3
"2361",3
"2362",0
"2363",0
"2364",0
"2365",0
"2366",0
"2367",0
"2368",0
"2369",0
"2370",0
"2371",4
"2372",2
"2373",0
"2374",1
"2375",4
"2376",0
"2377",0
"2378",0
"2379",0
"2380",0
"2381",0
"2382",0
"2383",0
"2384",2
"2385",1
"2386",2
"2387",1
"2388",0
"2389",0
"2390",0
"2391",0
"2392",0
"2393",2
"2394",0
"2395",0
"2396",0
"2397",0
"2398",0
"2399",0
"2400",0
"2401",0
"2402",0
"2403",0
"2404",0
"2405",0
"2406",0
"2407",0
"2408",0
"2409",0
"2410",0
"2411",0
"2412",0
"2413",0
"2414",0
"2415",0
"2416",0
"2417",0
"2418",0
"2419",0
"2420",0
"2421",0
"2422",0
"2423",0
"2424",0
"2425",0
"2426",0
"2427",0
"2428",0
"2429",0
"2430",0
"2431",0
"2432",0
"2433",0
"2434",0
"2435",0
"2436",1
"2437",0
"2438",0
"2439",0
